Aquarana catesbeiana
Bombina pachypus
Bombina variegata
Bufo bufo
Bufo spinosus
Bufotes viridis
Discoglossus pictus
Discoglossus sardus
Euproctus platycephalus
Hyla arborea
Hyla meridionalis
Ichthyosaura alpestris
Lissotriton vulgaris
Pelobates fuscus
Pelodytes punctatus
Pelophylax bedriagae
Pelophylax bergeri
Pelophylax kurtmuelleri
Pelophylax lessonae
Pelophylax ridibundus
Proteus anguinus
Rana dalmatina
Rana temporaria
Salamandra atra
Salamandra lanzai
Salamandra salamandra
Salamandrina terdigitata
Triturus carnifex
Xenopus laevis
